Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Main Source
ANTIGUA AND BARBUDA,56.0,12.0,7.0,4.0,2.0,8.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,3.0,7.0,10.0,3.0,37.0,14.0,103.0,1.0,8.0,1223.0,407.0,46.0,48.0,272.0,169.0,,WHOPAHO-ALL-19802024-Y03-00
ARGENTINA,0.0,0.0,0.0,822.0,3.0,1700.0,11.0,214.0,135.0,3284.0,34.0,181.0,173.0,40.0,26606.0,1185.0,213.0,2803.0,9294.0,3270.0,4774.0,79455.0,557.0,1834.0,3283.0,59358.0,3972.0,841.0,152025.0,581559.0,,WHOPAHO-ALL-19802024-Y03-00
ARUBA,37.0,10.0,0.0,0.0,130.0,76.0,0.0,25.0,0.0,173.0,0.0,5.0,0.0,0.0,845.0,1700.0,3025.0,0.0,528.0,400.0,335.0,1319.0,1734.0,9.0,106.0,11.0,4.0,11.0,22.0,88.0,,WHOPAHO-ALL-19802024-Y03-00
AUSTRALIA,39.0,123.0,205.0,581.0,181.0,217.0,183.0,224.0,868.0,356.0,219.0,188.0,316.0,557.0,1404.0,1228.0,821.0,1539.0,1841.0,1721.0,1716.0,2239.0,1135.0,933.0,1469.0,224.0,11.0,535.0,1119.0,2372.0,681.0,MOH-AUS-19912025-Y01-00
BANGLADESH,0.0,0.0,0.0,0.0,273.0,5551.0,2430.0,6132.0,486.0,3934.0,1048.0,2200.0,466.0,1153.0,474.0,409.0,1359.0,671.0,1749.0,375.0,3162.0,6060.0,2769.0,10148.0,104954.0,1405.0,26151.0,62408.0,321138.0,101214.0,1871.0,WHOSEARO-ALL-19852009-Y01-00
BARBADOS,974.0,130.0,196.0,852.0,688.0,744.0,1029.0,740.0,557.0,349.0,320.0,1.0,0.0,1.0,55.0,2966.0,739.0,912.0,2848.0,2689.0,503.0,1732.0,597.0,69.0,125.0,1352.0,448.0,339.0,798.0,1133.0,,WHOPAHO-ALL-19802024-Y03-00
BELIZE,107.0,0.0,141.0,7.0,3.0,4.0,3.0,41.0,0.0,2.0,380.0,9.0,40.0,23.0,1370.0,1885.0,466.0,1421.0,2690.0,4990.0,5691.0,4899.0,3054.0,2347.0,13410.0,2658.0,3104.0,5080.0,1705.0,1148.0,,WHOPAHO-ALL-19802024-Y03-00
BERMUDA,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,,WHOPAHO-ALL-19802024-Y03-00
BHUTAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2579.0,19.0,480.0,86.0,73.0,351.0,874.0,712.0,1101.0,111.0,0.0,0.0,550.0,87.0,28.0,5480.0,16.0,5.0,123.0,626.0,156.0,,WHOSEARO-ALL-19852009-Y01-00
BOLIVIA,7.0,52.0,539.0,49.0,43.0,73.0,176.0,891.0,6501.0,7365.0,4433.0,2039.0,7223.0,3178.0,83849.0,9918.0,26633.0,51694.0,13050.0,46508.0,54198.0,64772.0,19990.0,15320.0,21567.0,111347.0,8947.0,20007.0,159713.0,50439.0,,WHOPAHO-ALL-19802024-Y03-00
BRAZIL,124775.0,175749.0,254074.0,535283.0,204131.0,231412.0,412388.0,778037.0,341189.0,112851.0,203356.0,345922.0,558413.0,724427.0,520660.0,994158.0,753487.0,597450.0,1473645.0,591080.0,1695323.0,2220482.0,512827.0,470269.0,2253883.0,1467142.0,975474.0,2363490.0,3147717.0,10267077.0,,WHOPAHO-ALL-19802024-Y03-00
